Areaname,ELE025180D,ELE025184D,ELE025188D,ELE025192D,ELE025196D,ELE025200D,ELE025204D,ELE025208D,ELE035180D,ELE035184D,ELE035188D,ELE035192D,ELE035196D,ELE035200D,ELE035204D,ELE035208D,STCOU,State,ELE025212D,ELE035212D
United States,41.0,40.6,45.6,43.0,49.2,48.4,48.3,52.9,50.7,58.8,53.4,37.4,40.7,47.9,50.7,45.7,0,United States,52.9,45.7
Alabama,47.4,38.3,39.9,40.9,43.2,41.6,36.8,38.7,48.8,60.5,59.2,47.6,50.1,56.5,62.5,60.3,1000,Alabama,38.7,60.3
Autauga,38.8,28.2,31.4,30.9,32.5,28.7,23.7,25.8,56.9,70.1,67.1,55.9,61.7,69.7,75.7,73.6,1001,AL,26.6,72.6
Baldwin,29.8,22.0,26.0,26.2,27.1,24.8,22.5,23.8,65.8,75.5,72.8,56.5,62.6,72.4,76.4,75.3,1003,AL,21.6,77.4
Barbour,49.5,45.2,43.1,46.4,53.5,53.4,44.8,49.0,46.3,53.7,55.7,42.9,40.5,45.2,54.7,50.4,1005,AL,51.3,48.3
Bibb,55.1,38.1,43.6,43.2,44.0,38.2,27.5,26.6,44.3,61.3,56.1,46.5,48.2,60.2,72.0,72.4,1007,AL,26.2,73.1
Blount,44.5,29.9,33.1,32.9,33.0,27.7,18.3,14.5,53.6,68.2,64.6,53.8,59.1,70.5,80.9,84.0,1009,AL,12.3,86.5
Bullock,70.3,66.7,68.1,67.7,70.2,69.2,68.1,74.1,25.7,32.0,31.0,26.0,26.3,29.2,31.7,25.7,1011,AL,76.3,23.5
Butler,49.7,41.8,46.4,47.4,49.3,46.2,40.6,43.1,45.5,56.7,52.6,41.2,43.1,52.9,59.2,56.5,1013,AL,46.1,53.6
Calhoun,47.9,33.5,36.7,38.4,42.6,40.6,33.3,33.2,49.2,61.2,58.3,48.2,49.0,57.3,65.9,65.7,1015,AL,33.5,65.5
Chambers,55.9,39.4,39.4,45.4,49.7,47.5,41.0,45.5,40.9,59.6,59.4,43.4,42.4,51.0,58.5,53.9,1017,AL,47.1,52.2
Cherokee,58.5,47.9,52.1,53.6,52.2,44.7,33.6,23.7,38.6,51.0,47.0,34.9,36.2,53.1,65.5,74.9,1019,AL,21.8,76.8
Chilton,41.0,31.0,30.3,34.2,37.5,31.8,22.6,20.7,57.6,65.0,69.4,56.2,55.4,66.7,76.9,78.5,1021,AL,19.5,79.8
Choctaw,55.9,45.9,49.0,52.1,57.1,50.3,45.7,46.1,43.4,53.9,50.9,40.6,36.8,48.8,53.9,53.5,1023,AL,47.5,52.1
Clarke,49.2,41.2,42.1,42.9,47.7,43.5,40.6,44.0,47.4,58.1,57.0,46.9,47.3,55.7,59.1,55.6,1025,AL,45.7,54.0
Clay,49.7,28.9,30.6,36.0,41.4,34.8,28.8,25.8,48.1,68.2,66.7,49.7,48.4,63.2,70.3,73.1,1027,AL,26.7,72.3
Cleburne,45.3,26.8,30.8,40.9,41.0,32.7,24.0,18.0,52.8,70.5,68.4,46.3,48.6,65.5,75.4,80.3,1029,AL,15.4,83.6
Coffee,45.8,28.9,32.3,37.2,36.5,33.8,25.4,25.2,50.5,69.8,66.6,48.9,55.1,64.4,73.9,74.1,1031,AL,24.8,74.2
Colbert,62.7,52.3,56.5,54.4,50.3,49.0,44.3,39.1,33.1,45.3,42.2,36.0,40.9,48.8,55.1,59.3,1033,AL,39.2,59.6
Conecuh,50.2,43.2,47.5,50.0,53.2,50.1,45.2,49.4,47.7,55.8,51.2,39.1,38.3,48.6,54.3,50.0,1035,AL,50.6,49.0
Coosa,56.6,40.7,43.4,48.6,51.3,46.1,41.1,40.9,40.7,59.0,56.2,41.1,41.7,52.2,58.1,58.4,1037,AL,41.7,57.8
Covington,46.3,27.5,31.8,35.8,38.1,32.6,23.4,20.5,51.5,71.6,67.3,49.0,50.7,65.8,76.0,78.8,1039,AL,20.5,78.8
Crenshaw,51.4,36.1,41.0,45.4,48.8,40.3,30.9,30.8,47.1,61.9,58.4,44.2,43.6,58.2,68.7,68.7,1041,AL,31.9,67.5
Cullman,51.8,34.5,36.7,36.0,35.9,33.0,22.9,16.6,45.9,63.9,61.9,49.6,53.9,64.9,76.2,81.8,1043,AL,14.6,84.2
Dale,39.3,23.5,26.9,32.3,33.0,31.0,24.6,27.3,57.6,75.4,71.8,51.5,57.8,67.0,74.7,71.9,1045,AL,28.5,70.6
Dallas,53.8,52.9,55.4,56.4,59.5,59.4,60.2,67.1,42.1,46.3,43.8,37.7,37.5,39.9,39.5,32.6,1047,AL,69.7,30.0
Dekalb,47.2,37.3,38.7,38.2,36.1,34.8,29.3,23.6,51.8,62.5,60.5,48.7,54.1,63.2,69.9,74.8,1049,AL,22.0,76.8
Elmore,39.2,26.1,29.0,30.5,31.2,27.9,22.6,24.2,57.2,72.7,69.8,55.7,61.8,70.5,76.9,75.1,1051,AL,25.2,74.0
Escambia,42.7,30.3,36.7,37.5,41.9,38.8,30.8,35.4,54.0,68.3,62.1,46.4,47.0,59.8,68.7,63.9,1053,AL,36.9,62.5
Etowah,55.0,49.2,49.5,48.4,47.9,44.3,35.9,30.2,42.8,49.6,49.7,41.1,44.8,53.6,63.3,68.4,1055,AL,30.1,68.5
Fayette,49.9,35.2,42.2,45.2,46.9,39.2,30.1,25.1,48.8,64.6,57.4,42.6,44.3,58.7,69.2,73.9,1057,AL,22.8,76.3
Franklin,57.0,45.9,48.4,50.2,48.0,43.2,36.8,29.7,41.3,52.9,50.2,40.4,42.4,55.1,62.7,68.8,1059,AL,29.2,69.7
Geneva,48.8,25.9,31.7,36.7,35.3,29.0,20.1,18.3,49.3,70.0,67.3,49.1,52.6,68.9,79.3,80.8,1061,AL,18.0,81.0
Greene,76.6,70.6,75.3,79.2,79.7,79.7,79.3,83.1,22.8,26.1,23.9,16.5,18.0,19.3,20.2,16.5,1063,AL,84.7,15.0
Hale,59.9,54.3,56.4,57.8,61.6,60.2,58.3,60.7,34.7,44.4,42.7,33.2,34.6,38.6,41.3,39.0,1065,AL,62.6,37.1
Henry,50.6,35.8,37.7,43.1,45.5,40.1,33.3,34.9,47.8,63.4,61.8,45.7,46.4,58.5,66.3,64.6,1067,AL,35.0,64.4
Houston,33.8,23.6,25.9,29.8,31.3,29.4,25.3,29.3,64.1,75.8,73.9,58.3,62.3,69.1,74.2,70.1,1069,AL,29.5,69.8
Jackson,61.8,52.4,54.3,56.2,52.7,50.6,42.5,30.5,34.5,46.2,44.5,30.2,36.3,47.3,56.8,67.5,1071,AL,28.3,70.2
Jefferson,43.6,40.3,41.8,42.1,46.1,47.4,45.2,52.2,51.1,59.4,57.7,50.1,50.2,50.6,54.2,47.1,1073,AL,52.6,46.6
Lamar,54.4,32.6,41.4,41.3,44.4,36.6,28.4,22.8,44.9,67.2,58.4,47.3,46.1,61.7,71.1,76.6,1075,AL,23.0,76.2
Lauderdale,56.5,45.0,49.1,47.2,44.7,43.2,39.4,35.0,38.4,53.6,49.4,40.7,46.2,54.4,59.7,63.2,1077,AL,33.9,64.8
Lawrence,69.9,51.3,55.2,54.9,51.8,51.7,44.0,35.2,28.1,47.0,43.0,30.9,38.4,46.5,55.2,63.2,1079,AL,35.9,62.9
Lee,43.7,34.7,34.0,38.8,38.9,38.1,36.4,39.6,50.0,64.1,64.4,47.6,54.1,58.6,62.7,59.3,1081,AL,39.3,59.2
Limestone,61.1,38.6,37.0,37.4,38.9,38.0,31.4,28.4,34.2,60.1,61.6,45.7,52.5,60.1,67.8,70.3,1083,AL,27.7,71.4
Lowndes,67.1,67.9,69.7,68.0,73.0,73.0,70.3,74.9,28.6,31.0,29.4,25.8,25.2,26.2,29.7,24.9,1085,AL,76.4,23.3
Macon,80.1,82.7,81.9,82.8,85.6,86.8,82.9,86.9,14.3,16.2,16.8,12.9,12.0,12.4,16.7,12.8,1087,AL,87.1,12.7
Madison,46.8,34.4,32.3,36.1,41.9,42.5,40.2,41.9,47.0,64.5,67.1,47.7,50.0,54.8,58.9,56.9,1089,AL,40.0,58.6
Marengo,53.6,47.1,50.5,50.1,52.7,50.4,48.8,51.7,41.9,51.5,48.6,39.8,43.2,48.8,50.9,48.1,1091,AL,53.5,46.2
Marion,50.8,36.6,42.9,46.5,46.6,39.1,29.6,21.0,48.3,63.2,56.7,42.9,43.8,58.8,69.8,77.2,1093,AL,18.6,80.1
Marshall,54.5,37.8,36.9,39.0,37.4,37.1,26.8,21.2,40.9,60.5,60.9,45.8,52.9,61.0,72.3,77.6,1095,AL,19.3,79.4
Mobile,39.5,36.1,38.4,38.2,42.1,42.0,40.7,45.3,57.7,62.6,60.8,50.7,51.3,55.9,58.7,54.0,1097,AL,45.0,54.3
Monroe,47.0,38.2,39.2,39.7,43.9,41.8,38.5,44.7,50.9,60.6,60.1,50.5,50.4,57.6,61.2,54.9,1099,AL,45.9,53.7
Montgomery,42.1,41.6,40.7,43.3,48.7,50.3,50.4,59.4,53.7,57.8,58.4,47.3,48.0,48.3,49.2,40.1,1101,AL,61.9,37.6
Morgan,50.2,31.9,36.0,34.3,36.5,37.6,30.1,27.5,45.1,67.8,63.5,47.9,54.4,60.4,69.1,71.3,1103,AL,27.2,71.8
Perry,64.5,58.2,62.1,63.9,68.7,69.5,68.2,72.4,34.7,40.6,36.6,31.5,28.8,29.9,31.5,27.3,1105,AL,74.8,24.8
Pickens,55.0,43.2,44.5,46.5,51.7,48.5,42.9,45.6,43.8,56.5,55.2,44.6,42.7,50.4,56.6,54.0,1107,AL,46.3,53.3
