County,Census,Estimates Base,2010,2011,2012,2013,State,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062
Autauga,54571,54571,54613,55278,55265,55383.399999999965,Alabama,55709.40000000002,55939.22000000003,56169.03999999998,56398.859999999986,56628.67999999999,56858.5,57088.31999999995,57318.139999999956,57547.95999999996,57777.77999999997,58007.59999999992,58237.419999999925,58467.23999999993,58697.05999999994,58926.87999999989,59156.699999999895,59386.5199999999,59616.33999999985,59846.15999999986,60075.979999999865,60305.79999999987,60535.61999999982,60765.43999999983,60995.259999999835,61225.07999999984,61454.89999999979,61684.7199999998,61914.539999999804,62144.35999999981,62374.17999999976,62603.99999999977,62833.819999999774,63063.63999999978,63293.45999999973,63523.27999999974,63753.099999999744,63982.91999999969,64212.7399999997,64442.55999999971,64672.37999999971,64902.19999999966,65132.01999999967,65361.83999999968,65591.65999999968,65821.47999999963,66051.29999999964,66281.11999999965,66510.93999999965,66740.7599999996
Baldwin,182265,182265,183223,186727,190675,195176.09999999963,Alabama,198902.10000000056,202882.830000001,206863.56000000052,210844.29000000097,214825.02000000048,218805.75000000093,222786.48000000045,226767.2100000009,230747.94000000134,234728.67000000086,238709.4000000013,242690.13000000082,246670.86000000127,250651.59000000078,254632.32000000123,258613.05000000075,262593.7800000012,266574.51000000164,270555.24000000115,274535.9700000016,278516.7000000011,282497.43000000156,286478.1600000011,290458.8900000015,294439.62000000104,298420.3500000015,302401.08000000194,306381.81000000145,310362.5400000019,314343.2700000014,318324.00000000186,322304.7300000014,326285.4600000018,330266.19000000134,334246.9200000018,338227.65000000224,342208.38000000175,346189.1100000022,350169.8400000017,354150.57000000216,358131.3000000017,362112.0300000021,366092.76000000164,370073.4900000021,374054.22000000253,378034.95000000205,382015.6800000025,385996.410000002,389977.14000000246
Barbour,27457,27457,27341,27301,27232,27107.900000000052,Alabama,27053.400000000052,26976.570000000065,26899.740000000078,26822.91000000009,26746.080000000104,26669.250000000116,26592.4200000001,26515.590000000113,26438.760000000126,26361.93000000014,26285.10000000015,26208.270000000164,26131.440000000177,26054.61000000019,25977.780000000203,25900.950000000215,25824.120000000228,25747.290000000212,25670.460000000225,25593.630000000237,25516.80000000025,25439.970000000263,25363.140000000276,25286.31000000029,25209.4800000003,25132.650000000314,25055.820000000327,24978.99000000034,24902.160000000353,24825.330000000336,24748.50000000035,24671.670000000362,24594.840000000375,24518.010000000388,24441.1800000004,24364.350000000413,24287.520000000426,24210.69000000044,24133.86000000045,24057.030000000464,23980.20000000045,23903.37000000046,23826.540000000474,23749.710000000487,23672.8800000005,23596.050000000512,23519.220000000525,23442.390000000538,23365.56000000055
Bibb,22915,22919,22883,22770,22662,22523.600000000006,Alabama,22413.099999999977,22294.47999999998,22175.859999999986,22057.23999999999,21938.619999999966,21819.99999999997,21701.379999999976,21582.75999999998,21464.139999999956,21345.51999999996,21226.899999999965,21108.27999999997,20989.659999999945,20871.03999999995,20752.419999999955,20633.79999999996,20515.179999999935,20396.55999999994,20277.939999999944,20159.31999999995,20040.699999999924,19922.07999999993,19803.459999999934,19684.83999999994,19566.219999999914,19447.59999999992,19328.979999999923,19210.359999999928,19091.739999999903,18973.119999999908,18854.499999999913,18735.879999999917,18617.259999999893,18498.639999999898,18380.019999999902,18261.399999999907,18142.77999999991,18024.159999999887,17905.53999999989,17786.919999999896,17668.2999999999,17549.679999999877,17431.05999999988,17312.439999999886,17193.81999999989,17075.199999999866,16956.57999999987,16837.959999999875,16719.33999999988
Blount,57322,57322,57352,57742,57807,57936.99999999994,Alabama,58164.49999999994,58346.49999999994,58528.49999999988,58710.49999999988,58892.49999999988,59074.499999999825,59256.499999999825,59438.499999999825,59620.499999999825,59802.49999999977,59984.49999999977,60166.49999999977,60348.49999999971,60530.49999999971,60712.49999999971,60894.49999999965,61076.49999999965,61258.49999999965,61440.49999999965,61622.49999999959,61804.49999999959,61986.49999999959,62168.499999999534,62350.499999999534,62532.499999999534,62714.499999999534,62896.499999999476,63078.499999999476,63260.499999999476,63442.49999999942,63624.49999999942,63806.49999999942,63988.49999999942,64170.49999999936,64352.49999999936,64534.49999999936,64716.4999999993,64898.4999999993,65080.4999999993,65262.4999999993,65444.49999999924,65626.49999999924,65808.49999999924,65990.49999999919,66172.49999999919,66354.49999999919,66536.49999999919,66718.49999999913,66900.49999999913
Bullock,10914,10915,10881,10618,10605,10574.900000000023,Alabama,10436.900000000052,10343.770000000077,10250.640000000072,10157.510000000068,10064.380000000063,9971.250000000087,9878.120000000083,9784.990000000078,9691.860000000102,9598.730000000098,9505.600000000093,9412.470000000088,9319.340000000113,9226.210000000108,9133.080000000104,9039.950000000128,8946.820000000123,8853.690000000119,8760.560000000114,8667.430000000139,8574.300000000134,8481.17000000013,8388.040000000154,8294.910000000149,8201.780000000144,8108.65000000014,8015.520000000164,7922.3900000001595,7829.260000000155,7736.130000000179,7643.000000000175,7549.87000000017,7456.740000000165,7363.61000000019,7270.480000000185,7177.35000000018,7084.220000000205,6991.0900000002,6897.960000000196,6804.830000000191,6711.700000000215,6618.570000000211,6525.440000000206,6432.3100000002305,6339.180000000226,6246.050000000221,6152.9200000002165,6059.790000000241,5966.660000000236
Butler,20947,20946,20944,20662,20384,20216.5,Alabama,19936.5,19690.45000000001,19444.400000000023,19198.349999999977,18952.29999999999,18706.24999999994,18460.199999999953,18214.149999999965,17968.09999999992,17722.04999999993,17475.99999999994,17229.949999999895,16983.899999999907,16737.84999999986,16491.799999999872,16245.749999999884,15999.699999999837,15753.649999999849,15507.599999999802,15261.549999999814,15015.499999999825,14769.449999999779,14523.39999999979,14277.349999999744,14031.299999999756,13785.249999999767,13539.19999999972,13293.149999999732,13047.099999999686,12801.049999999697,12554.999999999709,12308.949999999662,12062.899999999674,11816.849999999627,11570.79999999964,11324.74999999965,11078.699999999604,10832.649999999616,10586.59999999957,10340.54999999958,10094.499999999593,9848.449999999546,9602.399999999558,9356.349999999511,9110.299999999523,8864.249999999534,8618.199999999488,8372.1499999995,8126.099999999453
Calhoun,118572,118572,118448,117769,117253,116703.70000000019,Alabama,116106.20000000042,115531.31000000052,114956.42000000062,114381.5300000005,113806.6400000006,113231.7500000007,112656.8600000008,112081.97000000067,111507.08000000077,110932.19000000088,110357.30000000075,109782.41000000085,109207.52000000095,108632.63000000082,108057.74000000092,107482.85000000102,106907.9600000009,106333.070000001,105758.1800000011,105183.2900000012,104608.40000000107,104033.51000000117,103458.62000000128,102883.73000000115,102308.84000000125,101733.95000000135,101159.06000000122,100584.17000000132,100009.28000000142,99434.39000000153,98859.5000000014,98284.6100000015,97709.7200000016,97134.83000000147,96559.94000000157,95985.05000000168,95410.16000000155,94835.27000000165,94260.38000000175,93685.49000000162,93110.60000000172,92535.71000000183,91960.82000000193,91385.9300000018,90811.0400000019,90236.150000002,89661.26000000187,89086.37000000197,88511.48000000208
Chambers,34215,34170,34110,33995,34074,34120.50000000001,Alabama,34102.500000000015,34113.55000000001,34124.600000000006,34135.65000000001,34146.70000000001,34157.75000000001,34168.8,34179.850000000006,34190.90000000001,34201.950000000004,34213.0,34224.05,34235.100000000006,34246.149999999994,34257.2,34268.25,34279.299999999996,34290.34999999999,34301.399999999994,34312.45,34323.49999999999,34334.54999999999,34345.59999999999,34356.649999999994,34367.69999999999,34378.749999999985,34389.79999999999,34400.849999999984,34411.89999999998,34422.94999999998,34433.999999999985,34445.04999999998,34456.09999999998,34467.14999999998,34478.19999999998,34489.24999999998,34500.299999999974,34511.34999999998,34522.39999999998,34533.449999999975,34544.49999999997,34555.549999999974,34566.59999999997,34577.649999999965,34588.69999999997,34599.74999999997,34610.79999999997,34621.84999999996,34632.899999999965
Cherokee,25989,25986,25968,26088,26056,26179.70000000001,Alabama,26223.70000000001,26284.010000000024,26344.32000000002,26404.630000000034,26464.940000000046,26525.250000000044,26585.560000000056,26645.870000000068,26706.180000000066,26766.490000000078,26826.80000000009,26887.110000000088,26947.4200000001,27007.730000000112,27068.04000000011,27128.350000000122,27188.660000000134,27248.970000000132,27309.280000000144,27369.590000000157,27429.90000000017,27490.210000000166,27550.52000000018,27610.83000000019,27671.14000000019,27731.4500000002,27791.760000000213,27852.07000000021,27912.380000000223,27972.690000000235,28033.000000000233,28093.310000000245,28153.620000000257,28213.930000000255,28274.240000000267,28334.55000000028,28394.860000000277,28455.17000000029,28515.4800000003,28575.7900000003,28636.10000000031,28696.410000000324,28756.72000000032,28817.030000000334,28877.340000000346,28937.650000000343,28997.960000000356,29058.270000000368,29118.580000000366
