County,,,Census,,,Estimates Base,2010,2011,2012,2013
"Autauga County, Alabama",,,"54,571",,,"54,571","54,613","55,278","55,265","55,246"
"Baldwin County, Alabama",,,"182,265",,,"182,265","183,223","186,727","190,675","195,540"
"Barbour County, Alabama",,,"27,457",,,"27,457","27,341","27,301","27,232","27,076"
"Bibb County, Alabama",,,"22,915",,,"22,919","22,883","22,770","22,662","22,512"
"Blount County, Alabama",,,"57,322",,,"57,322","57,352","57,742","57,807","57,872"
"Bullock County, Alabama",,,"10,914",,,"10,915","10,881","10,618","10,605","10,639"
"Butler County, Alabama",,,"20,947",,,"20,946","20,944","20,662","20,384","20,265"
"Calhoun County, Alabama",,,"118,572",,,"118,572","118,448","117,769","117,253","116,736"
"Chambers County, Alabama",,,"34,215",,,"34,170","34,110","33,995","34,074","34,162"
"Cherokee County, Alabama",,,"25,989",,,"25,986","25,968","26,088","26,056","26,203"
"Chilton County, Alabama",,,"43,643",,,"43,642","43,700","43,786","43,800","43,951"
"Choctaw County, Alabama",,,"13,859",,,"13,858","13,849","13,598","13,585","13,426"
"Clarke County, Alabama",,,"25,833",,,"25,840","25,786","25,615","25,220","25,207"
"Clay County, Alabama",,,"13,932",,,"13,932","13,886","13,678","13,458","13,486"
"Cleburne County, Alabama",,,"14,972",,,"14,972","14,969","14,960","14,885","14,994"
"Coffee County, Alabama",,,"49,948",,,"49,948","50,182","50,503","51,276","50,938"
"Colbert County, Alabama",,,"54,428",,,"54,428","54,506","54,406","54,424","54,520"
"Conecuh County, Alabama",,,"13,228",,,"13,228","13,218","13,130","13,009","12,887"
"Coosa County, Alabama",,,"11,539",,,"11,544","11,563","11,117","11,000","10,898"
"Covington County, Alabama",,,"37,765",,,"37,765","37,790","38,053","37,856","37,886"
"Crenshaw County, Alabama",,,"13,906",,,"13,906","13,867","13,915","13,981","13,986"
"Cullman County, Alabama",,,"80,406",,,"80,408","80,449","80,477","80,409","80,811"
"Dale County, Alabama",,,"50,251",,,"50,251","50,341","50,085","50,348","49,884"
"Dallas County, Alabama",,,"43,820",,,"43,820","43,840","43,167","42,692","41,996"
"DeKalb County, Alabama",,,"71,109",,,"71,115","71,106","71,422","70,977","71,013"
"Elmore County, Alabama",,,"79,303",,,"79,296","79,512","80,010","80,417","80,902"
"Escambia County, Alabama",,,"38,319",,,"38,319","38,314","38,230","38,070","37,983"
"Etowah County, Alabama",,,"104,430",,,"104,427","104,498","104,323","104,311","103,931"
"Fayette County, Alabama",,,"17,241",,,"17,241","17,250","17,074","17,005","16,909"
"Franklin County, Alabama",,,"31,704",,,"31,709","31,757","31,765","31,685","31,532"
"Geneva County, Alabama",,,"26,790",,,"26,790","26,793","26,815","26,969","26,727"
"Greene County, Alabama",,,"9,045",,,"9,045","8,991","8,905","8,848","8,744"
"Hale County, Alabama",,,"15,760",,,"15,760","15,732","15,389","15,420","15,406"
"Henry County, Alabama",,,"17,302",,,"17,302","17,290","17,424","17,285","17,296"
"Houston County, Alabama",,,"101,547",,,"101,547","101,793","102,371","103,298","103,668"
"Jackson County, Alabama",,,"53,227",,,"53,226","53,159","53,235","53,048","52,951"
"Jefferson County, Alabama",,,"658,466",,,"658,474","658,514","657,998","658,327","659,479"
"Lamar County, Alabama",,,"14,564",,,"14,564","14,499","14,292","14,265","14,236"
"Lauderdale County, Alabama",,,"92,709",,,"92,709","92,723","92,601","92,682","92,797"
"Lawrence County, Alabama",,,"34,339",,,"34,339","34,309","34,055","33,777","33,587"
"Lee County, Alabama",,,"140,247",,,"140,296","140,850","143,869","147,808","150,933"
"Limestone County, Alabama",,,"82,782",,,"82,782","83,227","85,537","87,384","88,845"
"Lowndes County, Alabama",,,"11,299",,,"11,299","11,278","11,116","10,846","10,703"
"Macon County, Alabama",,,"21,452",,,"21,450","21,541","21,215","20,383","19,688"
"Madison County, Alabama",,,"334,811",,,"334,811","336,204","339,681","342,762","346,892"
"Marengo County, Alabama",,,"21,027",,,"21,029","20,941","20,689","20,389","20,155"
"Marion County, Alabama",,,"30,776",,,"30,777","30,814","30,741","30,538","30,334"
"Marshall County, Alabama",,,"93,019",,,"93,019","93,188","93,921","94,413","94,760"
"Mobile County, Alabama",,,"412,992",,,"413,002","413,290","412,989","413,590","414,079"
"Monroe County, Alabama",,,"23,068",,,"23,070","23,004","22,803","22,629","22,236"
"Montgomery County, Alabama",,,"229,363",,,"229,363","229,805","231,535","229,293","226,659"
"Morgan County, Alabama",,,"119,490",,,"119,488","119,553","119,916","120,157","119,787"
"Perry County, Alabama",,,"10,591",,,"10,581","10,534","10,513","10,194","10,020"
"Pickens County, Alabama",,,"19,746",,,"19,746","19,703","19,333","19,331","19,401"
"Pike County, Alabama",,,"32,899",,,"32,899","32,958","32,913","33,113","33,339"
"Randolph County, Alabama",,,"22,913",,,"22,914","22,931","22,855","22,720","22,727"
"Russell County, Alabama",,,"52,947",,,"52,949","53,246","55,008","57,721","59,585"
"St. Clair County, Alabama",,,"83,593",,,"83,598","83,811","84,309","85,167","86,308"
"Shelby County, Alabama",,,"195,085",,,"195,078","195,844","198,117","200,983","204,180"
"Sumter County, Alabama",,,"13,763",,,"13,763","13,747","13,499","13,407","13,361"
"Talladega County, Alabama",,,"82,291",,,"82,291","82,039","81,748","81,666","81,096"
"Tallapoosa County, Alabama",,,"41,616",,,"41,618","41,490","41,460","41,157","41,203"
"Tuscaloosa County, Alabama",,,"194,656",,,"194,653","195,039","196,772","198,694","200,821"
"Walker County, Alabama",,,"67,023",,,"67,023","66,992","66,603","66,169","65,998"
"Washington County, Alabama",,,"17,581",,,"17,583","17,599","17,336","17,115","16,877"
"Wilcox County, Alabama",,,"11,670",,,"11,665","11,582","11,490","11,406","11,307"
"Winston County, Alabama",,,"24,484",,,"24,483","24,411","24,310","24,153","24,146"
"Aleutians East Borough, Alaska",,,"3,141",,,"3,141","3,158","3,183","3,139","3,092"
"Aleutians West Census Area, Alaska",,,"5,561",,,"5,561","5,543","5,541","5,560","5,511"
"Anchorage Municipality, Alaska",,,"291,826",,,"291,826","293,357","295,907","298,294","300,950"
"Bethel Census Area, Alaska",,,"17,013",,,"17,013","17,068","17,441","17,653","17,758"
"Bristol Bay Borough, Alaska",,,997,,,997,"1,002","1,036",987,960
"Denali Borough, Alaska",,,"1,826",,,"1,826","1,828","1,833","1,860","1,867"
"Dillingham Census Area, Alaska",,,"4,847",,,"4,847","4,868","4,974","4,986","5,010"
"Fairbanks North Star Borough, Alaska",,,"97,581",,,"97,581","98,190","99,276","100,141","100,436"
"Haines Borough, Alaska",,,"2,508",,,"2,508","2,510","2,563","2,580","2,592"
"Hoonah-Angoon Census Area, Alaska",,,"2,150",,,"2,150","2,150","2,124","2,141","2,145"
"Juneau City and Borough, Alaska",,,"31,275",,,"31,275","31,385","32,144","32,441","32,660"
"Kenai Peninsula Borough, Alaska",,,"55,400",,,"55,400","55,582","56,405","56,884","57,147"
"Ketchikan Gateway Borough, Alaska",,,"13,477",,,"13,477","13,542","13,669","13,742","13,729"
"Kodiak Island Borough, Alaska",,,"13,592",,,"13,592","13,622","13,869","14,118","14,135"
"Lake and Peninsula Borough, Alaska",,,"1,631",,,"1,631","1,635","1,650","1,632","1,648"
"Matanuska-Susitna Borough, Alaska",,,"88,995",,,"88,995","89,787","91,886","93,845","95,192"
"Nome Census Area, Alaska",,,"9,492",,,"9,492","9,543","9,868","9,857","9,892"
"North Slope Borough, Alaska",,,"9,430",,,"9,430","9,465","9,531","9,634","9,686"
"Northwest Arctic Borough, Alaska",,,"7,523",,,"7,523","7,531","7,711","7,724","7,685"
"Petersburg Census Area, Alaska",,,"3,815",,,"3,819","3,822","3,838","3,827","3,774"
