Areaname	STCOU	AGE010180D	AGE010190D	AGE010200D	AGE010210D	CLF010180D	CLF010190D	CLF010200D	CLF010210D	EDU600180D	EDU600190D	EDU600200D	EDU600210D	EDU640180D	EDU640190D	EDU640200D	EDU640210D	HIS020180D	HIS020190D	HIS020200D	HIS020210D	HSD130180D	HSD130190D	HSD130200D	HSD130210D	INC610180D	INC610190D	INC610200D	INC610210D	POP150180D	POP150190D	POP150200D	POP150210D	POP160180D	POP160190D	POP160200D	POP160210D	POP210180D	POP210190D	POP210200D	POP210210D	POP240180D	POP240190D	POP240200D	POP240210D	PVY020180D	PVY020190D	PVY020200D	PVY020210D
UNITED STATES	0	226545805	248709873	281421906	308745538	125840000	132304000	142583000	153889000	132835687	158868436	182211639	197440772	45947035	47642763	52168981	57861698	14603683	21900089	35238481	50477594	48371006	50708322	54493232	56510377	19917	35225	50046	62363	110053161	121239418	138053563	151781326	116492644	127470455	143368343	156964212	188371622	199686070	211460626	223553265	26495025	29986060	34658190	38929319	27392580	31742864	33899812	39537240
ALABAMA	1000	3893888	4040587	4447100	4779736	1888744	2068656	2154545	2127211	2217315	2545969	2887400	3049663	704207	749591	877216	971298	33923	23579	72627	185602	845944	858327	906916	902556	16347	28688	41657	51989	1871534	1936162	2146504	2320188	2022354	2104425	2300596	2459548	2872621	2975797	3162808	3275394	996335	1020705	1155930	1251311	719905	723614	698097	757833
Autauga, AL	1001	32259	34222	43671	54571	16742	19657	21954	24132	17440	20861	27589	31469	6145	6671	9332	10904	395	228	394	1310	7177	7706	9653	11367	18433	32240	48458	63458	15848	16653	21221	26569	16411	17569	22450	28002	24814	27144	35221	42855	7225	6845	7473	9643	5337	5324	4738	5103
Baldwin, AL	1003	78556	98280	140415	182265	46350	60810	70300	81390	45605	64623	96010	118585	15380	20544	28428	35303	655	865	2341	7992	18565	23512	32839	39913	16917	30199	47028	57447	38359	47741	68848	89196	40197	50539	71567	93069	65840	84565	122366	156153	12048	12640	14444	17105	12616	13947	14018	20265
Barbour, AL	1005	24756	25417	29038	27457	11380	12379	11475	9773	14092	15702	18896	19791	3671	4258	6124	7174	402	81	509	1387	4974	4869	4986	4293	11952	23838	31877	40109	11668	12085	14970	14576	13088	13332	14068	12881	13693	14118	14887	13180	11003	11194	13451	12875	7559	6244	7032	6673
Bibb, AL	1007	15723	16576	20826	22915	7361	7999	8643	8444	8834	10065	13540	14489	2611	3407	4838	5768	220	47	181	406	3412	3626	4331	4172	14709	23714	37230	51951	7628	8107	10745	12301	8095	8469	10081	10614	12029	13052	15966	17381	3675	3478	4624	5047	3296	3454	4091	2442
Blount, AL	1009	36459	39248	51024	57322	18980	20988	25389	26016	21640	25241	33702	38472	7011	8763	12136	14033	245	280	2629	4626	9454	10139	12616	13077	14701	26323	41573	53807	18043	19159	25476	28362	18416	20089	25548	28960	35761	38397	48512	53068	598	521	606	761	6527	5938	5930	6156
Bullock, AL	1011	10596	11042	11714	10914	4367	4486	3993	3651	5887	6727	7570	7115	1324	1669	2667	2743	145	30	359	777	1805	1590	1415	1178	10623	17796	23990	33763	4880	5335	6140	5912	5716	5707	5574	5002	3427	3036	2958	2507	7160	7986	8564	7666	3745	3776	3405	3423
Butler, AL	1013	21680	21892	21399	20947	8759	10042	9212	8993	12609	13490	13767	13378	3635	3927	4749	5219	266	121	118	191	4530	4261	4009	3678	12385	21499	30915	39808	10097	10239	10019	9838	11583	11653	11380	11109	13260	13049	12492	11399	8397	8798	8732	9095	5818	6815	5205	4360
Calhoun, AL	1015	119761	116034	112249	118572	51020	53540	53392	52565	65341	72445	74015	75911	21411	21711	23856	25844	1582	1206	1912	3893	25648	25111	23647	22168	16131	28340	39908	48971	58681	56058	53702	57176	61080	59976	58547	61396	97313	92873	88537	88840	21074	21578	20810	24382	18231	17385	17695	19256
Chambers, AL	1017	39191	36876	36583	34215	17530	17184	17551	14060	23108	23681	24497	23901	6544	6749	7863	8533	211	109	274	536	8285	7564	7043	5931	15336	26331	36598	40753	18469	17385	17285	16363	20722	19491	19298	17852	25222	23575	22271	20112	13894	13221	13943	13257	6931	6849	6134	5507
Cherokee, AL	1019	18760	19543	23988	25989	9557	10166	11419	11355	11227	12954	16825	17756	3158	4092	5865	6313	110	89	232	320	4740	4984	5970	5874	14036	24932	36920	47489	9247	9607	11794	12888	9513	9936	12194	13101	17185	18154	22268	24081	1550	1291	1330	1208	3474	3424	3672	3517
Chilton, AL	1021	30612	32458	39593	43643	15042	17568	19677	19067	17932	20781	25902	28187	5578	6770	9264	10826	182	76	1016	3420	7498	7773	9185	9245	14206	26203	39505	47618	14850	15767	19581	21608	15762	16691	20012	22035	26942	28647	34330	36713	3633	3674	4200	4230	6031	5495	6152	7208
Choctaw, AL	1023	16839	16018	15922	13859	6653	6850	6231	4986	9207	9806	10569	9757	2695	3070	3670	3961	205	82	144	73	3506	3291	3310	2734	12277	23609	31870	36453	8112	7593	7489	6688	8727	8425	8433	7171	9490	8913	8779	7731	7319	7077	7027	6012	5285	4809	3858	3167
Clarke, AL	1025	27702	27240	27867	25833	11598	13617	11676	10057	15077	16285	17702	16837	4596	5445	6667	7184	304	95	173	271	5666	5498	5697	4989	14803	23080	34546	41197	13359	13012	13180	12214	14343	14228	14687	13619	15806	15527	15589	14070	11827	11625	11989	11336	7210	6960	6207	6799
Clay, AL	1027	13703	13252	14254	13932	6276	6627	6618	5356	8053	8659	9767	9878	2583	2692	3690	3793	121	31	207	399	3289	3169	3271	2988	13360	24145	34033	44601	6623	6363	6952	6833	7080	6889	7302	7099	11424	11044	11776	11380	2268	2166	2238	2066	2874	2272	2392	2204
Cleburne, AL	1029	12595	12730	14123	14972	6217	7323	7031	6292	7425	8101	9533	10068	2031	2394	3417	4005	29	7	160	307	3198	3212	3430	3312	14642	25900	35579	40767	6183	6253	7037	7453	6412	6477	7086	7519	11925	12084	13380	14079	647	587	523	498	2093	1936	1953	2340
Coffee, AL	1031	38533	40240	43615	49948	18649	21547	20072	21319	22676	25974	28885	31465	6696	6824	7571	8837	396	421	1131	3180	9331	9546	9822	10448	16292	27653	39664	54096	18780	19662	21303	24684	19753	20578	22312	25264	31636	32702	33631	37330	6532	6917	8013	8359	6246	6180	6285	7346
