codes,county_name,dem_percent,dem_votes,rep_percent,rep_votes,state,state_dem_votes,state_rep_votes,state_total,state_dem_percent,state_rep_percent
28001,Adams,58.7,7999,40.7,5542,Mississippi,528260,674302,1202562,43,56
28003,Alcorn,23.5,3449,75.1,11027,Mississippi,528260,674302,1202562,43,56
28005,Amite,42.0,3218,57.3,4393,Mississippi,528260,674302,1202562,43,56
28007,Attala,42.9,3368,56.7,4452,Mississippi,528260,674302,1202562,43,56
28009,Benton,49.7,2026,49.8,2030,Mississippi,528260,674302,1202562,43,56
28011,Bolivar,68.5,9772,30.5,4346,Mississippi,528260,674302,1202562,43,56
28013,Calhoun,35.9,2250,63.1,3961,Mississippi,528260,674302,1202562,43,56
28015,Carroll,33.3,1990,66.2,3953,Mississippi,528260,674302,1202562,43,56
28017,Chickasaw,51.2,3914,47.1,3601,Mississippi,528260,674302,1202562,43,56
28019,Choctaw,33.4,1283,65.8,2533,Mississippi,528260,674302,1202562,43,56
28021,Claiborne,88.1,4633,11.6,608,Mississippi,528260,674302,1202562,43,56
28023,Clarke,37.4,2695,61.3,4415,Mississippi,528260,674302,1202562,43,56
28025,Clay,60.7,5860,38.7,3735,Mississippi,528260,674302,1202562,43,56
28027,Coahoma,74.9,7164,24.6,2356,Mississippi,528260,674302,1202562,43,56
28029,Copiah,55.4,7201,43.9,5714,Mississippi,528260,674302,1202562,43,56
28031,Covington,41.6,3800,57.8,5282,Mississippi,528260,674302,1202562,43,56
28033,DeSoto,32.8,20979,66.2,42399,Mississippi,528260,674302,1202562,43,56
28035,Forrest,43.5,12079,55.2,15339,Mississippi,528260,674302,1202562,43,56
28037,Franklin,38.4,1706,60.9,2705,Mississippi,528260,674302,1202562,43,56
28039,George,13.8,1352,85.0,8353,Mississippi,528260,674302,1202562,43,56
28041,Greene,22.4,1325,76.5,4528,Mississippi,528260,674302,1202562,43,56
28043,Grenada,46.6,5279,52.8,5980,Mississippi,528260,674302,1202562,43,56
28045,Hancock,22.8,3879,75.5,12859,Mississippi,528260,674302,1202562,43,56
28047,Harrison,36.1,22242,62.7,38646,Mississippi,528260,674302,1202562,43,56
28049,Hinds,72.2,70512,27.1,26450,Mississippi,528260,674302,1202562,43,56
28051,Holmes,83.9,6775,15.7,1264,Mississippi,528260,674302,1202562,43,56
28053,Humphreys,75.9,3399,23.9,1069,Mississippi,528260,674302,1202562,43,56
28055,Issaquena,60.9,479,38.4,302,Mississippi,528260,674302,1202562,43,56
28057,Itawamba,18.3,1599,79.3,6925,Mississippi,528260,674302,1202562,43,56
28059,Jackson,31.3,15452,67.5,33262,Mississippi,528260,674302,1202562,43,56
28061,Jasper,54.6,5097,44.9,4193,Mississippi,528260,674302,1202562,43,56
28065,Jeff Davis,61.9,4094,36.9,2439,Mississippi,528260,674302,1202562,43,56
28063,Jefferson,88.7,3508,10.9,431,Mississippi,528260,674302,1202562,43,56
28067,Jones,30.4,9146,68.7,20635,Mississippi,528260,674302,1202562,43,56
28069,Kemper,64.1,3239,35.4,1789,Mississippi,528260,674302,1202562,43,56
28071,Lafayette,41.3,7098,56.8,9772,Mississippi,528260,674302,1202562,43,56
28073,Lamar,22.1,5037,76.7,17472,Mississippi,528260,674302,1202562,43,56
28075,Lauderdale,41.8,12642,57.3,17322,Mississippi,528260,674302,1202562,43,56
28077,Lawrence,36.4,2394,63.1,4153,Mississippi,528260,674302,1202562,43,56
28079,Leake,45.4,3599,54.1,4283,Mississippi,528260,674302,1202562,43,56
28081,Lee,35.0,12043,64.0,22004,Mississippi,528260,674302,1202562,43,56
28083,Leflore,72.6,8423,26.9,3115,Mississippi,528260,674302,1202562,43,56
28085,Lincoln,34.1,4879,65.3,9333,Mississippi,528260,674302,1202562,43,56
28087,Lowndes,48.8,12037,50.3,12399,Mississippi,528260,674302,1202562,43,56
28089,Madison,41.8,20722,57.5,28507,Mississippi,528260,674302,1202562,43,56
28091,Marion,34.7,3833,64.5,7118,Mississippi,528260,674302,1202562,43,56
28093,Marshall,59.4,9581,39.9,6444,Mississippi,528260,674302,1202562,43,56
28095,Monroe,41.6,6990,57.5,9661,Mississippi,528260,674302,1202562,43,56
28097,Montgomery,46.7,2245,52.9,2543,Mississippi,528260,674302,1202562,43,56
28099,Neshoba,27.8,3030,71.4,7772,Mississippi,528260,674302,1202562,43,56
28101,Newton,34.0,3069,65.4,5909,Mississippi,528260,674302,1202562,43,56
28103,Noxubee,78.5,4920,21.2,1325,Mississippi,528260,674302,1202562,43,56
28105,Oktibbeha,50.2,8030,48.3,7728,Mississippi,528260,674302,1202562,43,56
28107,Panola,54.0,9079,45.3,7629,Mississippi,528260,674302,1202562,43,56
28109,Pearl River,19.1,3813,79.4,15836,Mississippi,528260,674302,1202562,43,56
28111,Perry,26.7,1519,72.3,4110,Mississippi,528260,674302,1202562,43,56
28113,Pike,53.4,9304,45.8,7986,Mississippi,528260,674302,1202562,43,56
28115,Pontotoc,22.6,2785,76.1,9403,Mississippi,528260,674302,1202562,43,56
28117,Prentiss,28.1,2817,70.5,7075,Mississippi,528260,674302,1202562,43,56
28119,Quitman,71.3,2837,28.0,1116,Mississippi,528260,674302,1202562,43,56
28121,Rankin,23.5,14425,75.4,46318,Mississippi,528260,674302,1202562,43,56
28123,Scott,45.1,4774,54.1,5728,Mississippi,528260,674302,1202562,43,56
28125,Sharkey,69.6,1571,29.9,675,Mississippi,528260,674302,1202562,43,56
28127,Simpson,38.6,4723,60.6,7424,Mississippi,528260,674302,1202562,43,56
28129,Smith,24.4,1979,74.7,6049,Mississippi,528260,674302,1202562,43,56
28131,Stone,26.3,1794,72.2,4924,Mississippi,528260,674302,1202562,43,56
28133,Sunflower,72.7,7989,26.4,2907,Mississippi,528260,674302,1202562,43,56
28135,Tallahatchie,60.3,3838,39.0,2480,Mississippi,528260,674302,1202562,43,56
28137,Tate,40.2,4572,58.6,6666,Mississippi,528260,674302,1202562,43,56
28139,Tippah,25.0,2254,73.5,6625,Mississippi,528260,674302,1202562,43,56
28141,Tishomingo,20.7,1623,77.3,6070,Mississippi,528260,674302,1202562,43,56
